Kreissparkasse Börde,NOLADE21HDL,https://xs2a-sandbox.f-i-apim.de:8444/fixs2a-env/xs2a-api/12345678,sparkasse-adapter
Kreissparkasse Döbeln,SOLADES1DLN,https://xs2a-sandbox.f-i-apim.de:8444/fixs2a-env/xs2a-api/12345678,sparkasse-adapter
Kreissparkasse Düsseldorf,WELADED1KSD,https://xs2a-sandbox.f-i-apim.de:8444/fixs2a-env/xs2a-api/12345678,sparkasse-adapter
Kreissparkasse Eichsfeld,HELADEF1EIC,https://xs2a-sandbox.f-i-apim.de:8444/fixs2a-env/xs2a-api/12345678,sparkasse-adapter
Kreissparkasse Esslingen-Nürtingen,ESSLDE66XXX,https://xs2a-sandbox.f-i-apim.de:8444/fixs2a-env/xs2a-api/12345678,sparkasse-adapter
Kreissparkasse Euskirchen,WELADED1EUS,https://xs2a-sandbox.f-i-apim.de:8444/fixs2a-env/xs2a-api/12345678,sparkasse-adapter
Kreissparkasse Fallingbostel in Walsrode,NOLADE21WAL,https://xs2a-sandbox.f-i-apim.de:8444/fixs2a-env/xs2a-api/12345678,sparkasse-adapter
Kreissparkasse Freudenstadt,SOLADES1FDS,https://xs2a-sandbox.f-i-apim.de:8444/fixs2a-env/xs2a-api/12345678,sparkasse-adapter
Kreissparkasse Garmisch-Partenkirchen,BYLADEM1GAP,https://xs2a-sandbox.f-i-apim.de:8444/fixs2a-env/xs2a-api/12345678,sparkasse-adapter
Kreissparkasse Gelnhausen,HELADEF1GEL,https://xs2a-sandbox.f-i-apim.de:8444/fixs2a-env/xs2a-api/12345678,sparkasse-adapter
Kreissparkasse Göppingen,GOPSDE6G612,https://xs2a-sandbox.f-i-apim.de:8444/fixs2a-env/xs2a-api/12345678,sparkasse-adapter
Kreissparkasse Göppingen,GOPSDE6GXXX,https://xs2a-sandbox.f-i-apim.de:8444/fixs2a-env/xs2a-api/12345678,sparkasse-adapter
Kreissparkasse Gotha,HELADEF1GTH,https://xs2a-sandbox.f-i-apim.de:8444/fixs2a-env/xs2a-api/12345678,sparkasse-adapter
Kreissparkasse Grafschaft Bentheim zu Nordhorn,NOLADE21NOH,https://xs2a-sandbox.f-i-apim.de:8444/fixs2a-env/xs2a-api/12345678,sparkasse-adapter
Kreissparkasse Grafschaft Diepholz,BRLADE21DHZ,https://xs2a-sandbox.f-i-apim.de:8444/fixs2a-env/xs2a-api/12345678,sparkasse-adapter
Kreissparkasse Groß-Gerau,HELADEF1GRG,https://xs2a-sandbox.f-i-apim.de:8444/fixs2a-env/xs2a-api/12345678,sparkasse-adapter
Kreissparkasse Halle,WELADED1HAW,https://xs2a-sandbox.f-i-apim.de:8444/fixs2a-env/xs2a-api/12345678,sparkasse-adapter
Kreissparkasse Heidenheim,SOLADES1HDH,https://xs2a-sandbox.f-i-apim.de:8444/fixs2a-env/xs2a-api/12345678,sparkasse-adapter
Kreissparkasse Heilbronn,HEISDE66XXX,https://xs2a-sandbox.f-i-apim.de:8444/fixs2a-env/xs2a-api/12345678,sparkasse-adapter
Kreissparkasse Heinsberg in Erkelenz,WELADED1ERK,https://xs2a-sandbox.f-i-apim.de:8444/fixs2a-env/xs2a-api/12345678,sparkasse-adapter
Kreissparkasse Herzogtum Lauenburg,NOLADE21RZB,https://xs2a-sandbox.f-i-apim.de:8444/fixs2a-env/xs2a-api/12345678,sparkasse-adapter
Kreissparkasse Hildburghausen,HELADEF1HIL,https://xs2a-sandbox.f-i-apim.de:8444/fixs2a-env/xs2a-api/12345678,sparkasse-adapter
Kreissparkasse Höchstadt,BYLADEM1HOS,https://xs2a-sandbox.f-i-apim.de:8444/fixs2a-env/xs2a-api/12345678,sparkasse-adapter
Kreissparkasse Kaiserslautern,MALADE51KLK,https://xs2a-sandbox.f-i-apim.de:8444/fixs2a-env/xs2a-api/12345678,sparkasse-adapter
Kreissparkasse Kelheim,BYLADEM1KEH,https://xs2a-sandbox.f-i-apim.de:8444/fixs2a-env/xs2a-api/12345678,sparkasse-adapter
Kreissparkasse Köln,COKSDE33XXX,https://xs2a-sandbox.f-i-apim.de:8444/fixs2a-env/xs2a-api/12345678,sparkasse-adapter
Kreissparkasse Kusel,MALADE51KUS,https://xs2a-sandbox.f-i-apim.de:8444/fixs2a-env/xs2a-api/12345678,sparkasse-adapter
Kreissparkasse Limburg,HELADEF1LIM,https://xs2a-sandbox.f-i-apim.de:8444/fixs2a-env/xs2a-api/12345678,sparkasse-adapter
Kreissparkasse Ludwigsburg,SOLADES1LBG,https://xs2a-sandbox.f-i-apim.de:8444/fixs2a-env/xs2a-api/12345678,sparkasse-adapter
Kreissparkasse Mayen,MALADE51MYN,https://xs2a-sandbox.f-i-apim.de:8444/fixs2a-env/xs2a-api/12345678,sparkasse-adapter
Kreissparkasse Melle,NOLADE21MEL,https://xs2a-sandbox.f-i-apim.de:8444/fixs2a-env/xs2a-api/12345678,sparkasse-adapter
Kreissparkasse Miesbach-Tegernsee,BYLADEM1MIB,https://xs2a-sandbox.f-i-apim.de:8444/fixs2a-env/xs2a-api/12345678,sparkasse-adapter
Kreissparkasse München Starnberg Ebersberg,BYLADEM1KMS,https://xs2a-sandbox.f-i-apim.de:8444/fixs2a-env/xs2a-api/12345678,sparkasse-adapter
Kreissparkasse Nordhausen,HELADEF1NOR,https://xs2a-sandbox.f-i-apim.de:8444/fixs2a-env/xs2a-api/12345678,sparkasse-adapter
Kreis-Sparkasse Northeim,NOLADE21NOM,https://xs2a-sandbox.f-i-apim.de:8444/fixs2a-env/xs2a-api/12345678,sparkasse-adapter
Kreissparkasse Ostalb,OASPDE6AXXX,https://xs2a-sandbox.f-i-apim.de:8444/fixs2a-env/xs2a-api/12345678,sparkasse-adapter
Kreissparkasse Ravensburg,SOLADES1RVB,https://xs2a-sandbox.f-i-apim.de:8444/fixs2a-env/xs2a-api/12345678,sparkasse-adapter
Kreissparkasse Reutlingen,SOLADES1REU,https://xs2a-sandbox.f-i-apim.de:8444/fixs2a-env/xs2a-api/12345678,sparkasse-adapter
Kreissparkasse Rhein-Hunsrück,MALADE51SIM,https://xs2a-sandbox.f-i-apim.de:8444/fixs2a-env/xs2a-api/12345678,sparkasse-adapter
Kreissparkasse Rhein-Pfalz,MALADE51LUH,https://xs2a-sandbox.f-i-apim.de:8444/fixs2a-env/xs2a-api/12345678,sparkasse-adapter
Kreissparkasse Rottweil,SOLADES1RWL,https://xs2a-sandbox.f-i-apim.de:8444/fixs2a-env/xs2a-api/12345678,sparkasse-adapter
Kreissparkasse Saale-Orla,HELADEF1SOK,https://xs2a-sandbox.f-i-apim.de:8444/fixs2a-env/xs2a-api/12345678,sparkasse-adapter
Kreissparkasse Saalfeld-Rudolstadt,HELADEF1SAR,https://xs2a-sandbox.f-i-apim.de:8444/fixs2a-env/xs2a-api/12345678,sparkasse-adapter
Kreissparkasse Saarlouis,KRSADE55XXX,https://xs2a-sandbox.f-i-apim.de:8444/fixs2a-env/xs2a-api/12345678,sparkasse-adapter
Kreissparkasse Saarpfalz,SALADE51HOM,https://xs2a-sandbox.f-i-apim.de:8444/fixs2a-env/xs2a-api/12345678,sparkasse-adapter
Kreissparkasse Schlüchtern,HELADEF1SLU,https://xs2a-sandbox.f-i-apim.de:8444/fixs2a-env/xs2a-api/12345678,sparkasse-adapter
Kreissparkasse Schwalm-Eder,HELADEF1MEG,https://xs2a-sandbox.f-i-apim.de:8444/fixs2a-env/xs2a-api/12345678,sparkasse-adapter
Kreissparkasse Siegburg,WELADED1SGB,https://xs2a-sandbox.f-i-apim.de:8444/fixs2a-env/xs2a-api/12345678,sparkasse-adapter
Kreissparkasse Soltau,NOLADE21SOL,https://xs2a-sandbox.f-i-apim.de:8444/fixs2a-env/xs2a-api/12345678,sparkasse-adapter
Kreissparkasse St. Wendel,SALADE51WND,https://xs2a-sandbox.f-i-apim.de:8444/fixs2a-env/xs2a-api/12345678,sparkasse-adapter
Kreissparkasse Stade,NOLADE21STK,https://xs2a-sandbox.f-i-apim.de:8444/fixs2a-env/xs2a-api/12345678,sparkasse-adapter
Kreissparkasse Steinfurt,WELADED1STF,https://xs2a-sandbox.f-i-apim.de:8444/fixs2a-env/xs2a-api/12345678,sparkasse-adapter
Kreissparkasse Stendal,NOLADE21SDL,https://xs2a-sandbox.f-i-apim.de:8444/fixs2a-env/xs2a-api/12345678,sparkasse-adapter
Kreissparkasse Syke,BRLADE21SYK,https://xs2a-sandbox.f-i-apim.de:8444/fixs2a-env/xs2a-api/12345678,sparkasse-adapter
Kreissparkasse Traunstein-Trostberg,BYLADEM1TST,https://xs2a-sandbox.f-i-apim.de:8444/fixs2a-env/xs2a-api/12345678,sparkasse-adapter
Kreissparkasse Tübingen,SOLADES1TUB,https://xs2a-sandbox.f-i-apim.de:8444/fixs2a-env/xs2a-api/12345678,sparkasse-adapter
Kreissparkasse Tuttlingen,SOLADES1TUT,https://xs2a-sandbox.f-i-apim.de:8444/fixs2a-env/xs2a-api/12345678,sparkasse-adapter
Kreissparkasse Verden,BRLADE21VER,https://xs2a-sandbox.f-i-apim.de:8444/fixs2a-env/xs2a-api/12345678,sparkasse-adapter
Kreissparkasse Vulkaneifel,MALADE51DAU,https://xs2a-sandbox.f-i-apim.de:8444/fixs2a-env/xs2a-api/12345678,sparkasse-adapter
Kreissparkasse Waiblingen,SOLADES1WBN,https://xs2a-sandbox.f-i-apim.de:8444/fixs2a-env/xs2a-api/12345678,sparkasse-adapter
Kreissparkasse Weilburg,HELADEF1WEI,https://xs2a-sandbox.f-i-apim.de:8444/fixs2a-env/xs2a-api/12345678,sparkasse-adapter
Kreissparkasse Wiedenbrück,WELADED1WDB,https://xs2a-sandbox.f-i-apim.de:8444/fixs2a-env/xs2a-api/12345678,sparkasse-adapter
Kreissparkasse Wittmund,BRLADE21WTM,https://xs2a-sandbox.f-i-apim.de:8444/fixs2a-env/xs2a-api/12345678,sparkasse-adapter
Kyffhäusersparkasse,HELADEF1KYF,https://xs2a-sandbox.f-i-apim.de:8444/fixs2a-env/xs2a-api/12345678,sparkasse-adapter
Landesbank Berlin - Berliner Sparkasse,BELADEBEXXX,https://xs2a-sandbox.f-i-apim.de:8444/fixs2a-env/xs2a-api/12345678,sparkasse-adapter
Landessparkasse zu Oldenburg,SLZODE22XXX,https://xs2a-sandbox.f-i-apim.de:8444/fixs2a-env/xs2a-api/12345678,sparkasse-adapter
Mittelbrandenburgische Sparkasse in Potsdam,WELADED1PMB,https://xs2a-sandbox.f-i-apim.de:8444/fixs2a-env/xs2a-api/12345678,sparkasse-adapter
Müritz-Sparkasse,NOLADE21WRN,https://xs2a-sandbox.f-i-apim.de:8444/fixs2a-env/xs2a-api/12345678,sparkasse-adapter
Nassauische Sparkasse,NASSDE55XXX,https://xs2a-sandbox.f-i-apim.de:8444/fixs2a-env/xs2a-api/12345678,sparkasse-adapter
Niederrheinische Sparkasse RheinLippe,WELADED1WES,https://xs2a-sandbox.f-i-apim.de:8444/fixs2a-env/xs2a-api/12345678,sparkasse-adapter
Nord-Ostsee Sparkasse,NOLADE21NOS,https://xs2a-sandbox.f-i-apim.de:8444/fixs2a-env/xs2a-api/12345678,sparkasse-adapter
Ostsächsische Sparkasse Dresden,OSDDDE81FTL,https://xs2a-sandbox.f-i-apim.de:8444/fixs2a-env/xs2a-api/12345678,sparkasse-adapter
Ostsächsische Sparkasse Dresden,OSDDDE81HDN,https://xs2a-sandbox.f-i-apim.de:8444/fixs2a-env/xs2a-api/12345678,sparkasse-adapter
Ostsächsische Sparkasse Dresden,OSDDDE81HOY,https://xs2a-sandbox.f-i-apim.de:8444/fixs2a-env/xs2a-api/12345678,sparkasse-adapter
Ostsächsische Sparkasse Dresden,OSDDDE81KMZ,https://xs2a-sandbox.f-i-apim.de:8444/fixs2a-env/xs2a-api/12345678,sparkasse-adapter
Ostsächsische Sparkasse Dresden,OSDDDE81PIR,https://xs2a-sandbox.f-i-apim.de:8444/fixs2a-env/xs2a-api/12345678,sparkasse-adapter
Ostsächsische Sparkasse Dresden,OSDDDE81RBG,https://xs2a-sandbox.f-i-apim.de:8444/fixs2a-env/xs2a-api/12345678,sparkasse-adapter
Ostsächsische Sparkasse Dresden,OSDDDE81SEB,https://xs2a-sandbox.f-i-apim.de:8444/fixs2a-env/xs2a-api/12345678,sparkasse-adapter
Ostsächsische Sparkasse Dresden,OSDDDE81XXX,https://xs2a-sandbox.f-i-apim.de:8444/fixs2a-env/xs2a-api/12345678,sparkasse-adapter
Ostseesparkasse Rostock,NOLADE21ROS,https://xs2a-sandbox.f-i-apim.de:8444/fixs2a-env/xs2a-api/12345678,sparkasse-adapter
Rhön-Rennsteig-Sparkasse,HELADEF1RRS,https://xs2a-sandbox.f-i-apim.de:8444/fixs2a-env/xs2a-api/12345678,sparkasse-adapter
Saalesparkasse,NOLADE21HAL,https://xs2a-sandbox.f-i-apim.de:8444/fixs2a-env/xs2a-api/12345678,sparkasse-adapter
Salzlandsparkasse,NOLADE21SES,https://xs2a-sandbox.f-i-apim.de:8444/fixs2a-env/xs2a-api/12345678,sparkasse-adapter
